s,h,theta,w,x
3.642703849411857864e-04,4.637053207598923000e-04,1.483434320745779633e+00,-1.623801260151771544e+02,1.798723931189527434e-05
3.704444592622228079e-04,4.698555791688977163e-04,1.482436230653067399e+00,-1.609411942475918806e+02,1.852593299030651621e-05
3.766185335832598294e-04,4.760052962038960941e-04,1.481446936528468372e+00,-1.595306544484967901e+02,1.907076518110372958e-05
3.827926079042968509e-04,4.821544706171440966e-04,1.480466265778209056e+00,-1.581476380561762483e+02,1.962168125122496810e-05
3.889666822253338724e-04,4.883031012245237076e-04,1.479494051058720450e+00,-1.567913125800665171e+02,2.017862763721806906e-05
3.951407565463709482e-04,4.944511869029844355e-04,1.478530130059844572e+00,-1.554608797064684893e+02,2.074155181277225420e-05
4.013148308674080239e-04,5.005987265881061896e-04,1.477574345299358605e+00,-1.541555735245382550e+02,2.131040225758818154e-05
4.074889051884450454e-04,5.067457192717757805e-04,1.476626543928106328e+00,-1.528746588636054753e+02,2.188512842751665600e-05
4.136629795094821211e-04,5.128921639999705403e-04,1.475686577545070932e+00,-1.516174297336312122e+02,2.246568072590061135e-05
4.198370538305191968e-04,5.190380598706436938e-04,1.474754302021778152e+00,-1.503832078613076533e+02,2.305201047605900093e-05
4.260111281515562183e-04,5.251834060317052497e-04,1.473829577335460161e+00,-1.491713413149258542e+02,2.364406989485513119e-05
4.321852024725932398e-04,5.313282016790939633e-04,1.472912267410452669e+00,-1.479812032117035585e+02,2.424181206729537349e-05
4.445333511146673370e-04,5.436161384456579537e-04,1.471099366384962748e+00,-1.456637228124008914e+02,2.544856977691952141e-05
4.568814997567414342e-04,5.559018646305696450e-04,1.469314583722038270e+00,-1.434262081284072394e+02,2.667760430497429850e-05
4.692296483988155314e-04,5.681853753526003694e-04,1.467556958424317548e+00,-1.412644305736629349e+02,2.792856618922100678e-05
4.815777970408896286e-04,5.804666663408947561e-04,1.465825579827868541e+00,-1.391744616526482048e+02,2.920111788759091476e-05
4.939259456829636716e-04,5.927457338906812895e-04,1.464119584064186519e+00,-1.371526463249442145e+02,3.049493315509273415e-05
5.062740943250377147e-04,6.050225748226091983e-04,1.462438150833234030e+00,-1.351955791986257793e+02,3.180969646444581421e-05
5.186222429671118661e-04,6.172971864453648391e-04,1.460780500454806452e+00,-1.333000832037984935e+02,3.314510246659996523e-05
5.309703916091860175e-04,6.295695665212604208e-04,1.459145891169492115e+00,-1.314631904463703052e+02,3.450085548770625383e-05
5.433185402512600605e-04,6.418397132345200068e-04,1.457533616663940990e+00,-1.296821249833123773e+02,3.587666905945743380e-05
5.556666888933341035e-04,6.541076251620183074e-04,1.455943003798132018e+00,-1.279542872955250914e+02,3.727226548002841443e-05
5.680148375354082549e-04,6.663733012462502193e-04,1.454373410514905984e+00,-1.262772402640435274e+02,3.868737540312236299e-05
5.803629861774824063e-04,6.786367407703369293e-04,1.452824223914261692e+00,-1.246486964805620943e+02,4.012173745287150525e-05
