s,h,theta,w,x
1.790302487038827363e-04,2.790294771359519248e-04,1.566074953264681824e+00,-1.962414597977188890e+01,4.588058164095497275e-07
1.852037055557407533e-04,2.852028634091488351e-04,1.565954739048277311e+00,-1.932298833083910594e+01,4.879529038914781101e-07
1.913771624075987702e-04,2.913762461170629108e-04,1.565836354452401880e+00,-1.903132893369602385e+01,5.178421201673509970e-07
1.975506192594567872e-04,2.975496252276342937e-04,1.565719742275077042e+00,-1.874870812176913049e+01,5.484621698608221231e-07
2.037240761113148042e-04,3.037230007109530442e-04,1.565604848057619680e+00,-1.847469638378055024e+01,5.798021107343539225e-07
2.098975329631728483e-04,3.098963725391277362e-04,1.565491619906331344e+00,-1.820889186400523840e+01,6.118513367536255339e-07
2.160709898150308924e-04,3.160697406861637010e-04,1.565380008328833616e+00,-1.795091811262072312e+01,6.445995622527185674e-07
2.222444466668889093e-04,3.222431051278501620e-04,1.565269966083594255e+00,-1.770042205691588677e+01,6.780368071096665335e-07
2.268745393057824424e-04,3.268731260138645848e-04,1.565188437050055503e+00,-1.751725705560780710e+01,7.036242389156199225e-07
2.315046319446759484e-04,3.315031447939950182e-04,1.565107747039242936e+00,-1.733797891307754924e+01,7.295891518498226513e-07
2.361347245835694543e-04,3.361331614598015447e-04,1.565027878349774193e+00,-1.716246110337000985e+01,7.559276610496024666e-07
2.407648172224629603e-04,3.407631760033017257e-04,1.564948813853026310e+00,-1.699058269110544472e+01,7.826359636128421471e-07
2.453949098613564662e-04,3.453931884169509237e-04,1.564870536967983838e+00,-1.682222801848629246e+01,8.097103359460400477e-07
2.500250025002499722e-04,3.500231986936233825e-04,1.564793031637486509e+00,-1.665728641353400974e+01,8.371471312288249686e-07
2.546550951391435324e-04,3.546532068265949343e-04,1.564716282305781858e+00,-1.649565191786571106e+01,8.649427769884459708e-07
2.592851877780370383e-04,3.592832128095254361e-04,1.564640273897296430e+00,-1.633722303247479601e+01,8.930937727781932396e-07
2.639152804169305443e-04,3.639132166364434815e-04,1.564564991796543847e+00,-1.618190248011791610e+01,9.215966879541126752e-07
2.685453730558241044e-04,3.685432183017305725e-04,1.564490421829098699e+00,-1.602959698303526892e+01,9.504481595447447120e-07
2.731754656947176104e-04,3.731732178001065359e-04,1.564416550243565407e+00,-1.588021705484285562e+01,9.796448902089550936e-07
2.778055583336111163e-04,3.778032151266159716e-04,1.564343363694480127e+00,-1.573367680553631587e+01,1.009183646277253768e-06
2.824356509725046223e-04,3.824332102766148079e-04,1.564270849226086391e+00,-1.558989375863689375e+01,1.039061255872276740e-06
2.870657436113981283e-04,3.870632032457576709e-04,1.564198994256932318e+00,-1.544878867959222646e+01,1.069274607104388315e-06
2.963259288891851944e-04,3.963231826255158045e-04,1.564057214275525798e+00,-1.517431073780100270e+01,1.130366685572812140e-06
3.055861141669722605e-04,4.055831532366592517e-04,1.563917930045823912e+00,-1.490966805688536745e+01,1.192771643747377175e-06
3.148462994447592724e-04,4.148431150540205902e-04,1.563781052987856857e+00,-1.465432821909362104e+01,1.256466369797370596e-06
3.241064847225462843e-04,4.241030680561828697e-04,1.563646499270478163e+00,-1.440779738154912337e+01,1.321428572179546688e-06
3.333666700003333505e-04,4.333630122251932743e-04,1.563514189470657234e+00,-1.416961677969702649e+01,1.387636735662594929e-06
3.426268552781204166e-04,4.426229475463001493e-04,1.563384048263351866e+00,-1.393935961039080240e+01,1.455070080506623050e-06
3.518870405559074285e-04,4.518828740077124708e-04,1.563256004138675381e+00,-1.371662824672966607e+01,1.523708524514482435e-06
3.611472258336944404e-04,4.611427916003793732e-04,1.563129989143478671e+00,-1.350105174361901383e+01,1.593532647702185677e-06
3.704074111114815065e-04,4.704027003177867531e-04,1.563005938644822512e+00,-1.329228359878986687e+01,1.664523659362327095e-06
3.796675963892685727e-04,4.796626001557702983e-04,1.562883791113121479e+00,-1.308999973887324231e+01,1.736663367317803823e-06
3.889277816670555846e-04,4.889224911123438589e-04,1.562763487922995465e+00,-1.289389670423737932e+01,1.809934149183674777e-06
3.981879669448425965e-04,4.981823731875406657e-04,1.562644973170100648e+00,-1.270369000978664786e+01,1.884318925473184626e-06
4.074481522226296626e-04,5.074422463832666376e-04,1.562528193502402241e+00,-1.251911266189418370e+01,1.959801134399975678e-06
4.167083375004167287e-04,5.167021107031651277e-04,1.562413097964524322e+00,-1.233991381418014299e+01,2.036364708242757509e-06
4.259685227782037406e-04,5.259619661524919144e-04,1.562299637853965750e+00,-1.216585754702402866e+01,2.113994051151341200e-06
4.352287080559907526e-04,5.352218127379990836e-04,1.562187766588094551e+00,-1.199672175756955994e+01,2.192674018284153054e-06
4.444888933337778187e-04,5.444816504678281262e-04,1.562077439580956018e+00,-1.183229714859212578e+01,2.272389896177415526e-06
4.537490786115648848e-04,5.537414793514097580e-04,1.561968614129026989e+00,-1.167238630599102400e+01,2.353127384255121442e-06
4.630092638893518967e-04,5.630012993993719793e-04,1.561861249305135813e+00,-1.151680285587449504e+01,2.434872577396959154e-06
4.722694491671389086e-04,5.722611106234538805e-04,1.561755305859852561e+00,-1.136537069325270366e+01,2.517611949488570595e-06
4.815296344449259205e-04,5.815209130364267127e-04,1.561650746129716438e+00,-1.121792327526499022e+01,2.601332337884964216e-06
4.907898197227129325e-04,5.907807066520185356e-04,1.561547533951733957e+00,-1.107430297266271779e+01,2.686020928723773869e-06
5.000500050004999444e-04,6.000404914848463458e-04,1.561445634583634945e+00,-1.093436047396404653e+01,2.771665243030291055e-06
5.093101902782870647e-04,6.093002675503509172e-04,1.561345014629421213e+00,-1.079795423730588233e+01,2.858253123560954889e-06
5.185703755560740766e-04,6.185600348647372774e-04,1.561245641969788434e+00,-1.066494998555294238e+01,2.945772722336280306e-06
5.278305608338610885e-04,6.278197934449188718e-04,1.561147485697037318e+00,-1.053522024069411245e+01,3.034212488818114484e-06
