theta_deg,log10_viscosity_ratio,Q_reference,Q_interpolated,absolute_error_Q,reference_estimated_error_Q,absolute_weighted_node_sensitivity_Q,checkpoint_error_budget_Q,table_cell_theta_index,table_cell_log10_M_index,reference_converged
82.5,-0.125,0.2748727109251391,0.27459572759329121,0.00027698333184789092,0.00013329697167718813,0.00035822460590293349,0.00076850490942801254,11,8,True
87.5,-1.9375,0.77915683892746324,0.77915313235908668,3.7065683765602486e-06,9.50552177133579e-05,0.00017286982448939353,0.00027163161057931165,12,0,True
87.5,-1.8125,0.76746797471142914,0.76747337600950272,5.4012980735818061e-06,9.648847515575376e-05,0.00012806434970703682,0.00022995412293637239,12,1,True
87.5,-1.625,0.74345498544805,0.7434992490816219,4.4263633571905991e-05,9.94345352031134e-05,0.00017160017870800545,0.00031529834748302487,12,2,True
87.5,-1.375,0.69547470876638395,0.69555820644990118,8.3497683517230747e-05,0.00010533000243651003,0.00016655622301449689,0.00035538390896823767,12,3,True
87.5,-1.125,0.62487805209095326,0.62490419051932167,2.6138428368405187e-05,0.00011402998759468819,0.00018004849518558111,0.00032021691114867448,12,4,True
87.5,-0.875,0.53230489461758723,0.53220613373126036,9.8760886326876296e-05,0.00012550752601381276,0.00019671761328478153,0.00042098602562547059,12,5,True
87.5,-0.625,0.42942109173117216,0.42928025042929191,0.00014084130188024568,0.00013843258314027995,0.00021428742708629414,0.00049356131210681977,12,6,True
87.5,-0.375,0.33906086190563078,0.33919263028094415,0.00013176837531336805,0.0001501596067621236,0.00022238001605252855,0.00050430799812802019,12,7,True
87.5,-0.125,0.2864780020562232,0.28620147548118302,0.0002765265750401813,0.00015775274738205614,0.00035472026613867684,0.00078899958856091428,12,8,True
92.5,-1.9375,0.90117243349913134,0.90117339867874258,9.6517961123421259e-07,9.511650696203411e-05,0.00016567492088838859,0.00026175660746165691,13,0,True
92.5,-1.8125,0.88494138300955594,0.88495624342447554,1.4860414919604104e-05,9.688740773949878e-05,0.00012305419544222023,0.00023480201810132311,13,1,True
92.5,-1.625,0.85188105997466945,0.85194706851208279,6.6008537413342339e-05,0.00010049163604719524,0.00016720291207388157,0.00033370308553441915,13,2,True
