theta_deg,log10_viscosity_ratio,Q_reference,Q_interpolated,absolute_error_Q,reference_estimated_error_Q,absolute_weighted_node_sensitivity_Q,checkpoint_error_budget_Q,table_cell_theta_index,table_cell_log10_M_index,reference_converged
107.5,-1.125,0.83449064505807724,0.83426676217584284,0.00022388288223440522,0.00012300897663120036,0.00025365117489297551,0.00060054303375858104,16,4,True
107.5,-0.875,0.62983231377062965,0.62965149407297327,0.00018081969765637584,0.00013685722127976252,0.00027914526699169347,0.00059682218592783183,16,5,True
107.5,-0.625,0.44467854651683503,0.44468362595781774,5.0794409827137343e-06,0.00014683598995701708,0.00029555043336065942,0.00044746586430039024,16,6,True
107.5,-0.375,0.30976854486363492,0.30974073536309649,2.7809500538433785e-05,0.00015020427567324912,0.00029891851608242865,0.00047693229229411156,16,7,True
107.5,-0.125,0.23739922463299112,0.2375103109780253,0.00011108634503417814,0.0001465867088946693,0.00046479211739273898,0.00072246517132158641,16,8,True
112.5,-1.9375,1.4313877151518004,1.43141125618984,2.3541038039587292e-05,9.137870832010009e-05,0.00020822177372811107,0.00032314152008779845,17,0,True
112.5,-1.8125,1.3752980944497444,1.3753645188820867,6.6424432342282458e-05,9.641301418050752e-05,0.00015611787323089463,0.00031895531975368457,17,1,True
112.5,-1.625,1.2675805321884885,1.2676694747577213,8.8942569232752788e-05,0.00010594645025507887,0.00022076394699659403,0.00041565296648442566,17,2,True
112.5,-1.375,1.0784057455616827,1.0782773064053164,0.000128439156366289,0.00012214586213454837,0.00022946433350309859,0.00048004935200393595,17,3,True
112.5,-1.125,0.84984543391195122,0.8495754685836534,0.0002699653282978165,0.00014038181675857242,0.00025575949553536989,0.00066610664059175875,17,4,True
112.5,-0.875,0.61530093786990503,0.61518560731239225,0.00011533055751278276,0.00015646953801407015,0.00027730343790962616,0.00054910353343647902,17,5,True
112.5,-0.625,0.41498710825660423,0.41506351407473058,7.6405818126346059e-05,0.00016585651618528097,0.00028843474319309291,0.00053069707750471999,17,6,True
112.5,-0.375,0.27527028258944375,0.2751908346898958,7.9447899547946399e-05,0.00016632085986023615,0.0002890819778204558,0.00053485073722863829,17,7,True
112.5,-0.125,0.20079597103070013,0.20102761546796619,0.00023164443726605977,0.00015898756797727565,0.00044659883667793248,0.00083723084192126795,17,8,True
117.5,-1.9375,1.5724395289949942,1.5724945020597692,5.4973064774976876e-05,9.944113702631263e-05,0.00021306301263061621,0.00036747721443190572,18,0,True
117.5,-1.8125,1.4966481304476036,1.4967404822422468,9.2351794643175111e-05,0.00010692869109529823,0.00016021350996564147,0.00035949399570411482,18,1,True
117.5,-1.625,1.3546081569256874,1.3546475253359083,3.9368410220896877e-05,0.00012068261479036835,0.0002284085998938903,0.00038845962490515552,18,2,True
117.5,-1.375,1.1157721710882138,1.1155258265604489,0.0002463445277649523,0.00014273969333844505,0.00023802617372046392,0.00062711039482386127,18,3,True
117.5,-1.125,0.84393137081902037,0.84366548298423916,0.00026588783478120881,0.00016535425587616004,0.00026281707126279258,0.00069405916192016143,18,4,True
117.5,-0.875,0.58228264563978982,0.58226247536104314,2.0170278746678427e-05,0.0001825515133055955,0.00027992769347257187,0.00048264948552484578,18,5,True
117.5,-0.625,0.37129794342152767,0.37143108095222988,0.00013313753070220979,0.00018945086320065752,0.00028488687175779815,0.00060747526566066546,18,6,True
117.5,-0.375,0.22968476156533024,0.22956598287809846,0.00011877868723178531,0.00018525194173735215,0.00028236892807057641,0.00058639955703971387,18,7,True
117.5,-0.125,0.15375503759620246,0.15406747591412046,0.0003124383179179957,0.00017320407060184007,0.00043292314965532978,0.00091856553817516555,18,8,True
122.5,-1.9375,1.711754084702267,1.7118630183824624,0.00010893368019537775,0.00013007447436486075,0.00023810729731022675,0.00047711545187046527,19,0,True
122.5,-1.8125,1.6097550765523949,1.6098728174524004,0.00011774090000549187,0.00014097335209917183,0.00018022527017475247,0.00043893952227941617,19,1,True
122.5,-1.625,1.4243211943272045,1.4242679643931657,5.3229934038778737e-05,0.0001602735372345787,0.00026287564445754937,0.00047637911573090682,19,2,True
122.5,-1.375,1.1282862725245839,1.1279427161257325,0.00034355639885141898,0.00018921159506923857,0.00027890145288425296,0.00081166944680491045,19,3,True
122.5,-1.125,0.81328785905060785,0.81309567684300599,0.00019218220760186533,0.0002158650169697962,0.00030724829089916325,0.00071529551547082479,19,4,True
