theta_rad,Qi_direct,Qi_interpolated,abs_interpolation_error_Qi,estimated_error_Qi,spacing,radius,relative_residual,method,generator_sha256
1.2250000000000001,-0.61483038397360368,-0.61483043445930918,5.0485705505032286e-08,1.4715798243303269e-06,0.050000000000000003,40,1.4775363128044414e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.2749999999999999,-0.5461939713354157,-0.54619402123208416,4.9896668463667027e-08,1.3948245664030523e-06,0.050000000000000003,40,1.2690946658905688e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.3250000000000002,-0.47689010747998184,-0.47689015754994329,5.0069961454735079e-08,1.323422226418014e-06,0.050000000000000003,40,1.4778714543078428e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.375,-0.40661821078471327,-0.40661826183295874,5.104824546409148e-08,1.2568282232172656e-06,0.050000000000000003,40,1.9129728970178228e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.4249999999999998,-0.33506612032942584,-0.3350661732390266,5.2909600756212427e-08,1.1945770915788856e-06,0.050000000000000003,40,1.9617610424158466e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.4750000000000001,-0.26190478627864539,-0.26190484205359393,5.5774948548581449e-08,1.136269214774277e-06,0.050000000000000003,40,2.1644245218912492e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.5249999999999999,-0.18678256306938082,-0.18674015955402362,4.2403515357197774e-05,1.0815600155200666e-06,0.050000000000000003,40,2.1394961863644285e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.5603981633974482,-0.13220693621491308,-0.13222345345904041,1.6517244127323139e-05,1.0448392764317305e-06,0.050000000000000003,40,2.2373423760626419e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.5853981633974483,-0.092877444757953731,-0.092870180503174193,7.2642547795376267e-06,1.0198504875325032e-06,0.050000000000000003,40,2.1319729136511674e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.625,-0.029097197675045448,-0.029107212760610235,1.001508556478653e-05,9.8178541240237505e-07,0.050000000000000003,40,2.3355871332319082e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.6749999999999998,0.054343448911301585,0.054343735323723497,2.8641242191124183e-07,9.3623693950273257e-07,0.050000000000000003,40,2.6887565233693296e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.7250000000000001,0.14151795066309797,0.14151828756074414,3.3689764616928741e-07,8.9331051825181085e-07,0.050000000000000003,40,2.548953190983971e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.7749999999999999,0.23300679568401392,0.23300720171857492,4.0603456100130053e-07,8.5283591419460514e-07,0.050000000000000003,40,1.4736690661089238e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.8250000000000002,0.32947002578649198,0.32947052929560394,5.0350911195984338e-07,8.1466410395414357e-07,0.050000000000000003,40,1.6956610362476463e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
