theta_rad,Qi,Q_chan,log_c,c,spacing,radius,series_terms,coarse_Qi,wide_Qi,discretisation_delta_Qi,domain_delta_Qi,estimated_error_Qi,relative_residual,method,generator_sha256
2.2250000000000001,1.4041937616390565,2.4041937616390565,-1.6354542079622802,0.19486384248664076,0.050000000000000003,40,3000,1.4041931819309696,1.4041937616441722,5.7970808686746977e-07,5.1156856528677963e-12,5.7970808686746977e-07,1.5977907801958132e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.2374999999999998,1.4515573051021846,2.4515573051021846,-1.6925283555091284,0.18405358231927282,0.050000000000000003,40,3000,1.4515567309457977,1.4515573051092121,5.7415638687885462e-07,7.0274897012723159e-12,5.7415638687885462e-07,1.6891665939504135e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.25,1.5001893707456924,2.5001893707456926,-1.7511240465715059,0.17357872318398296,0.050000000000000003,40,3000,1.5001888020397214,1.5001893707552292,5.6870597098246378e-07,9.5368157815300947e-12,5.6870597098246378e-07,1.7841959194809737e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.2999999999999998,1.7085970810190954,2.7085970810190956,-2.0020219958329974,0.13506191232840836,0.050000000000000003,40,3000,1.7085965330964792,1.7085970810496527,5.479226161675399e-07,3.0557334440572959e-11,5.479226161675399e-07,2.0792416968978052e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.3500000000000001,1.9425290613767876,2.9425290613767876,-2.2829463756865942,0.10198328255126557,0.050000000000000003,40,3000,1.942528532557811,1.9425290614710946,5.2881897660839172e-07,9.4307006648364222e-11,5.2881897660839172e-07,2.0097820136904362e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.3999999999999999,2.2073741271550849,3.2073741271550849,-2.5997307571786314,0.074293578534435925,0.050000000000000003,40,3000,2.2073736155517012,2.2073741274327361,5.1160338365718872e-07,2.776512353364069e-10,5.1160338365718872e-07,2.2993181065529859e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.4500000000000002,2.5100745309085069,3.5100745309085069,-2.9598604000031159,0.051826151598352833,0.050000000000000003,40,3000,2.5100740340498007,2.5100745316900079,4.9685870617821593e-07,7.8150108606678259e-10,4.9685870617821593e-07,2.6438243894758434e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.5,2.8597299745575757,3.8597299745575757,-3.3731052724753692,0.034283013782475086,0.050000000000000003,40,3000,2.8597294884822495,2.8597299766583255,4.8607532621147698e-07,2.100749796341006e-09,4.8607532621147698e-07,1.6726534038329967e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.5499999999999998,3.2685073747930886,4.2685073747930886,-3.8524706668048228,0.021227226194313015,0.050000000000000003,40,3000,3.2685068919652931,3.2685073802039462,4.8282779552266675e-07,5.4108575398004177e-09,4.8282779552266675e-07,1.6200624092092921e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.6000000000000001,3.753053905346635,4.7530539053466345,-4.4156692197279384,0.012086462918556197,0.050000000000000003,40,3000,3.7530534100394486,3.7530539187039627,4.9530718637669224e-07,1.3357327688368059e-08,4.9530718637669224e-07,1.909922345307429e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.6499999999999999,4.3367715590747364,5.3367715590747364,-5.0874831484420362,0.0061735382296062612,0.050000000000000003,40,3000,4.3367710175764742,4.3367715907071203,5.4149826222982256e-07,3.1632383823421151e-08,5.4149826222982256e-07,2.2751347968108155e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.7000000000000002,5.0536359759308764,6.0536359759308764,-5.9037179879281814,0.0027292785068259171,0.050000000000000003,40,3000,5.053635316609201,5.053636047777089,6.5932167547799736e-07,7.1846212534865117e-08,6.5932167547799736e-07,1.4971099636234651e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.75,5.954939696748017,6.954939696748017,-6.9181622165056105,0.00098964702728579794,0.050000000000000003,40,3000,5.9549387711165735,5.9549398530855147,9.2563144349355753e-07,1.5633749761434501e-07,9.2563144349355753e-07,1.5334267900251977e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.7999999999999998,7.1219561709748191,8.1219561709748191,-8.215616291426457,0.00027039781581740128,0.050000000000000003,40,3000,7.1219546808136558,7.1219564961107693,1.4901611633533207e-06,3.251359501632578e-07,1.4901611633533207e-06,1.7422686953650356e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.8500000000000001,8.6916318227142888,9.6916318227142888,-9.9382407231922159,4.8292189271299098e-05,0.050000000000000003,60,3000,8.6916311193401832,8.6916314947835467,7.0337410562615332e-07,3.754433635094756e-07,7.0337410562615332e-07,1.6064575611380617e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.8999999999999999,10.914175957116161,11.914175957116161,-12.344425009472477,4.3539590102412328e-06,0.050000000000000003,60,3000,10.914174703613154,10.914175783353397,1.2535030062821306e-06,1.0797402421047764e-06,1.2535030062821306e-06,1.5917271345799275e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.9500000000000002,14.300831418480071,15.300831418480071,-15.959340635954602,1.1720507766508193e-07,0.050000000000000003,60,3000,14.300828656189237,14.300831556951653,2.7622908334024032e-06,2.9007624160470868e-06,2.9007624160470868e-06,1.2774655272871123e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
3,20.084722540229595,21.084722540229595,-22.042867169839681,2.6724182125524817e-10,0.050000000000000003,60,3000,20.084715849193845,20.084722954751335,6.6910357503502382e-06,7.1055574899503426e-06,7.1055574899503426e-06,9.8702533560438898e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
